Sample	2mm tape 
date	07/01/2025
	
Temperature (K)	77.00
Angle (deg.)	0.000000
field / T	0.100000
	
		
Approx. trace time (s)	120.0	
		
Current / A	V1  -sample/ uV	time/s
5.704017	-0.100572	11.293000
5.729113	-0.113799	11.339000
5.816297	-0.124669	11.386000
5.841330	-0.146423	11.547000
5.866281	-0.146563	11.593000
5.890448	-0.144134	11.639000
5.915315	-0.143229	11.685000
5.940262	-0.139816	11.731000
5.965602	-0.139517	11.777000
5.990729	-0.137357	11.823000
6.016317	-0.137228	11.870000
6.041085	-0.138752	11.916000
6.066189	-0.139102	11.962000
6.090902	-0.141050	12.008000
6.174986	-0.142485	12.055000
6.200352	-0.141080	12.210000
6.225412	-0.132730	12.257000
6.250503	-0.122846	12.303000
6.275999	-0.114595	12.349000
6.300445	-0.103150	12.395000
6.324777	-0.089578	12.440000
6.411491	-0.078808	12.486000
6.435833	-0.042729	12.647000
6.460801	-0.033264	12.691000
6.485604	-0.022454	12.737000
6.510897	-0.014464	12.783000
6.535621	-0.005274	12.828000
6.560776	-0.002120	12.875000
6.585261	0.001083	12.921000
6.609789	-0.000446	12.967000
6.634681	0.002228	13.013000
6.659945	-0.000262	13.060000
6.685261	-0.002885	13.105000
6.884105	-0.050589	13.152000
6.909787	-0.060519	13.520000
6.934835	-0.065012	13.566000
7.018731	-0.068405	13.612000
7.042799	-0.066381	13.767000
7.067729	-0.063658	13.812000
7.093046	-0.058950	13.859000
7.118403	-0.054513	13.905000
7.143317	-0.049064	13.951000
7.168731	-0.039549	13.998000
7.193667	-0.036457	14.044000
7.218545	-0.033549	14.090000
7.242857	-0.024242	14.136000
7.267825	-0.013683	14.182000
7.357280	0.022213	14.228000
7.381860	0.029260	14.393000
7.406422	0.038089	14.438000
7.431758	0.042646	14.485000
7.456733	0.048205	14.531000
7.481968	0.053815	14.576000
7.507769	0.059947	14.623000
7.718215	0.065727	14.668000
7.743272	0.111707	15.059000
7.768462	0.114450	15.105000
7.793511	0.117183	15.151000
7.818617	0.119194	15.196000
7.844267	0.117003	15.243000
7.868607	0.112953	15.289000
7.952957	0.107413	15.336000
7.977889	0.104125	15.493000
8.002888	0.107162	15.538000
8.028233	0.113233	15.585000
8.053412	0.119980	15.631000
8.078973	0.129559	15.677000
8.103890	0.137441	15.723000
8.199946	0.144204	15.770000
8.224752	0.153078	15.947000
8.249588	0.154344	15.993000
8.273584	0.153789	16.039000
8.298746	0.147702	16.085000
8.324170	0.143563	16.131000
8.348751	0.138223	16.177000
8.374022	0.133138	16.223000
8.399062	0.127027	16.269000
8.424306	0.119555	16.315000
8.449002	0.112512	16.361000
8.472893	0.107403	16.407000
8.558234	0.077508	16.454000
8.583176	0.065296	16.609000
8.608093	0.055311	16.655000
8.633594	0.043189	16.702000
8.658914	0.034197	16.748000
8.683146	0.019934	16.794000
